Key,english
plantedMushroom2Fertilized,Mushroom (Fertilized)
plantedYucca2Fertilized,Yucca (Fertilized)
plantedCotton2Fertilized,Cotton (Fertilized)
plantedCoffee2Fertilized,Coffee (Fertilized)
plantedGoldenrod2Fertilized,Goldenrod (Fertilized)
plantedAloe2Fertilized,Aloe (Fertilized)
plantedBlueberry2Fertilized,Blueberry (Fertilized)
plantedPotato2Fertilized,Potato (Fertilized)
plantedChrysanthemum2Fertilized,Chrysanthemum (Fertilized)
plantedCorn2Fertilized,Corn (Fertilized)
plantedGraceCorn2Fertilized,Super Corn (Fertilized)
plantedHop2Fertilized,Hops (Fertilized)
plantedPumpkin2Fertilized,Pumpkin (Fertilized)
DFappleYoungFertilized,Apple Tree (Fertilized)
DForangeYoungFertilized,Orange Tree (Fertilized)
DFbananaYoungFertilized,Banana Tree (Fertilized)
DFcoconutYoungFertilized,Coconut Tree (Fertilized)
DFlimeYoungFertilized,Lime Tree (Fertilized)
DFWheatPlantYoungFertilized,Wheat (Fertilized)
DFtomatoYoungFertilized,Tomato (Fertilized)
DFcarrotYoungFertilized,Carrot (Fertilized)
DFCannabisPlantYoungFertilized,Cannabis (Fertilized)
DFRicePlantYoungFertilized,Rice (Fertilized)
plantedYucca2UndergroundFertilized,Yucca (Fertilized)
plantedCotton2UndergroundFertilized,Cotton (Fertilized)
plantedCoffee2UndergroundFertilized,Coffee (Fertilized)
plantedGoldenrod2UndergroundFertilized,Goldenrod (Fertilized)
plantedAloe2UndergroundFertilized,Aloe (Fertilized)
plantedBlueberry2UndergroundFertilized,Blueberry (Fertilized)
plantedPotato2UndergroundFertilized,Potato (Fertilized)
plantedChrysanthemum2UndergroundFertilized,Chrysanthemum (Fertilized)
plantedCorn2UndergroundFertilized,Corn (Fertilized)
plantedGraceCorn2UndergroundFertilized,Super Corn (Fertilized)
plantedHop2UndergroundFertilized,Hop (Fertilized)
plantedPumpkin2UndergroundFertilized,Pumpkin (Fertilized)
DFWheatPlantYoungUndergroundFertilized,Wheat (Fertilized)
DFtomatoYoungUndergroundFertilized,Tomato (Fertilized)
DFcarrotYoungUndergroundFertilized,Carrot (Fertilized)
